id,title,genres,averageRating,numVotes,releaseYear
tt0072500,"Fawlty Towers",Comedy,8.8,102544,1975
tt3530232,"Last Week Tonight with John Oliver","Comedy, News, Talk-Show",8.8,98040,2014
tt0112130,"Pride and Prejudice","Drama, Romance",8.8,95071,1995
tt15435876,"The Penguin","Crime, Drama",8.8,93552,2024
tt0121220,"Dragon Ball Z","Action, Adventure, Animation",8.8,91523,1989
tt10233448,"Vinland Saga","Action, Adventure, Animation",8.8,84892,2019
tt0063929,"Monty Python's Flying Circus",Comedy,8.8,80575,1969
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,77917,2011
tt3718778,"Over the Garden Wall","Adventure, Animation, Comedy",8.8,76060,2014
tt0353049,"Chappelle's Show","Comedy, Music",8.8,74012,2003
tt0096548,"Blackadder Goes Forth","Comedy, War",8.8,58598,1989
tt16026746,"X-Men '97","Action, Adventure, Animation",8.8,37800,2024
tt0081834,"Das Boot","Drama, War",8.8,34685,1985
tt1795096,"Behzat Ç: An Ankara Detective Story","Crime, Drama, Mystery",8.8,33809,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33077,2018
tt0074006,"I, Claudius","Biography, Drama, History",8.8,20135,1976
tt15295490,"Campus Diaries","Comedy, Drama, Romance",8.8,17371,2022
tt22727518,"Another Love","Crime, Drama, Romance",8.8,16592,2023
tt11007006,Azize,Drama,8.8,14895,2019
tt9566030,"Pew News","Comedy, News",8.8,14783,2018
tt7621364,"Black Pearl",Drama,8.8,14112,2017
tt6108262,"Black Sun","Crime, Drama, Thriller",8.8,12721,2017
tt13661118,"Not Me","Action, Crime, Romance",8.8,12227,2021
tt0481256,"Fighting Spirit","Action, Animation, Comedy",8.8,11585,2000
tt4574334,"Stranger Things","Drama, Fantasy, Horror",8.7,1392399,2016
tt1190634,"The Boys","Action, Comedy, Crime",8.7,735453,2019
tt2442560,"Peaky Blinders","Crime, Drama",8.7,681751,2013
tt2085059,"Black Mirror","Crime, Drama, Mystery",8.7,661024,2011
tt3581920,"The Last of Us","Action, Adventure, Drama",8.7,578705,2023
tt0412142,House,"Drama, Mystery",8.7,536951,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,485097,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,467216,2017
tt0096697,"The Simpsons","Animation, Comedy",8.7,445006,1989
tt0121955,"South Park","Animation, Comedy",8.7,414267,1997
tt0367279,"Arrested Development",Comedy,8.7,329765,2003
tt0804503,"Mad Men",Drama,8.7,267668,2007
tt4236770,Yellowstone,"Drama, Western",8.7,239663,2018
tt1606375,"Downton Abbey","Drama, Romance",8.7,230141,2010
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,228489,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,221670,2021
tt5687612,Fleabag,"Comedy, Drama",8.7,215092,2016
tt4508902,"One Punch Man","Action, Animation, Comedy",8.7,193689,2015
tt0384766,Rome,"Action, Drama, Romance",8.7,190415,2005
tt0988824,"Naruto: Shippuden","Action, Adventure, Animation",8.7,183531,2007
tt0407362,"Battlestar Galactica","Action, Adventure, Drama",8.7,179094,2004
tt5555260,"This Is Us","Comedy, Drama, Romance",8.7,163513,2016
tt0248654,"Six Feet Under","Comedy, Drama",8.7,154215,2001
tt5788792,"The Marvelous Mrs. Maisel","Comedy, Drama",8.7,147041,2017
tt0092455,"Star Trek: The Next Generation","Action, Adventure, Drama",8.7,140222,1987
tt1628033,"Top Gear","Adventure, Sport, Talk-Show",8.7,129904,2002
tt13991232,1883,"Drama, Western",8.7,124450,2021
tt0118421,Oz,"Crime, Drama, Thriller",8.7,109564,1997
tt9544034,"The Family Man","Action, Comedy, Drama",8.7,101655,2019
tt0286486,"The Shield","Crime, Drama, Thriller",8.7,90637,2002
tt5712554,"The Grand Tour","Comedy, Sport, Talk-Show",8.7,88080,2016
tt0994314,"Code Geass","Action, Animation, Drama",8.7,85217,2006
tt13309742,"Blue Eye Samurai","Action, Adventure, Animation",8.7,80655,2023
tt0758745,"Friday Night Lights","Drama, Sport",8.7,74294,2006
tt2303687,"Line of Duty","Crime, Drama, Mystery",8.7,73161,2012
tt0387764,"Peep Show",Comedy,8.7,68501,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,59551,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,50769,2004
tt10850932,"Crash Landing on You","Adventure, Comedy, Drama",8.7,46020,2019
tt0111958,"Father Ted",Comedy,8.7,44872,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,39928,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,38782,2009
tt7472896,"Mr Inbetween","Crime, Drama",8.7,35349,2018
tt0459159,"The Thick of It",Comedy,8.7,27076,2005
tt0096639,"Lonesome Dove","Adventure, Drama, Western",8.7,26878,1989
tt0086661,"The Adventures of Sherlock Holmes","Crime, Drama, Mystery",8.7,25043,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,22709,2019
tt6025022,"Justice League Unlimited","Action, Adventure, Animation",8.7,21700,2004
tt28857177,"Lucky Guy","Comedy, Drama, Fantasy",8.7,21552,2023
tt20859920,"Alchemy of Souls","Action, Drama, Fantasy",8.7,20081,2022
tt0988818,Gintama,"Action, Animation, Comedy",8.7,16555,2005
tt4063800,"The Bureau","Drama, Thriller",8.7,15156,2015
tt0106028,"Homicide: Life on the Street","Crime, Drama, Mystery",8.7,15083,1993
tt10801534,"How to with John Wilson","Comedy, Documentary",8.7,14437,2020
tt0090509,"The Return of Sherlock Holmes","Crime, Drama, Mystery",8.7,13842,1986
tt0229889,"El Chavo del Ocho","Comedy, Family",8.7,13707,1972
tt6111552,"Content Cop","Comedy, Crime, Talk-Show",8.7,12614,2015
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,11715,2014
tt7094780,"Mr. Sunshine","Action, Drama, Romance",8.7,11112,2018
tt10554898,"The Untamed","Action, Adventure, Drama",8.7,10663,2019
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,803009,2006
tt8111088,"The Mandalorian","Action, Adventure, Fantasy",8.6,606039,2019
tt1856010,"House of Cards",Drama,8.6,538593,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,485820,2015
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,352954,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.6,331998,2008
tt1266020,"Parks and Recreation",Comedy,8.6,295817,2009
tt4786824,"The Crown","Biography, Drama, History",8.6,264062,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,256496,1993
tt14452776,"The Bear","Comedy, Drama",8.6,252576,2022
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,207167,2010
tt2788316,Shogun,"Adventure, Drama, History",8.6,186401,2024
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,170052,2019
tt1486217,Archer,"Action, Animation, Comedy",8.6,168967,2009
tt0096657,"Mr. Bean","Comedy, Family",8.6,137980,1990
tt1870479,"The Newsroom",Drama,8.6,127471,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,121967,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,120610,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,117740,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,110191,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,91322,2016
tt9174558,Dopesick,Drama,8.6,82643,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,78737,2011
tt5421602,"Anne with an E","Drama, Family",8.6,70165,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54597,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53909,1989
tt0088484,"Blackadder II",Comedy,8.6,50896,1986
tt0092324,"Blackadder the Third",Comedy,8.6,47950,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47318,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,46947,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45821,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,42939,2022
tt5288312,Skam,"Drama, Romance",8.6,39723,2015
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38228,2020
tt9140342,"It's a Sin",Drama,8.6,38064,2021
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,37741,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36240,1960
tt0417349,"North & South","Drama, Romance",8.6,35700,2004
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34651,2012
tt0380136,QI,"Comedy, Game-Show",8.6,34180,2003
tt7562112,Pose,Drama,8.6,33902,2018
tt1983079,"Call the Midwife","Drama, History",8.6,32537,2012
tt4647692,Letterkenny,Comedy,8.6,30983,2016
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,30443,2016
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,29719,2022
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,28664,2003
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26514,2014
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,26308,1988
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25394,2013
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,24317,2023
tt4082744,Detectorists,Comedy,8.6,22474,2014
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.6,22440,2012
tt0129690,"I'm Alan Partridge",Comedy,8.6,22416,1997
tt0421291,"Avrupa Yakasi",Comedy,8.6,21946,2004
tt2311418,"Isler Güçler",Comedy,8.6,21497,2012
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,21173,2020
tt7278862,"My Brilliant Friend",Drama,8.6,19479,2018
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,18905,2002
tt1513168,"Through the Wormhole",Documentary,8.6,18621,2010
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,18242,2020
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,17893,2020
tt3671754,"Kardes Payi",Comedy,8.6,17455,2014
tt8317568,"Broken But Beautiful","Drama, Romance",8.6,17234,2018
tt0080306,"Yes Minister",Comedy,8.6,17117,1980
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,16642,1999
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,15620,2022
tt0403778,"Long Way Round","Adventure, Documentary",8.6,15611,2004
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15217,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14536,2018
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.6,13520,1998
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,13359,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,13339,1986
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12562,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,12360,2016
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,11864,2020
tt0118273,"Brass Eye",Comedy,8.6,11790,1997
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,11529,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10490,2019
tt31862849,"Very Parivarik",Comedy,8.6,10415,2024
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10243,1999
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10229,2015
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.6,10204,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,601604,2013
tt10048342,"The Queen's Gambit",Drama,8.5,586109,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,541791,2016
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,501323,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,429812,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,358610,2017
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,300834,2018
tt1586680,Shameless,"Comedy, Drama",8.5,299631,2011
tt1439629,Community,Comedy,8.5,299446,2009
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,284158,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,266792,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261703,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,252666,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,193700,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,177711,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,172576,2015
