id,title,genres,averageRating,numVotes,releaseYear
tt9096108,Rasbhari,"Drama, Romance",2.8,15790,2019
tt4867110,Swiped,"Comedy, Romance",2.8,12873,2018
tt21106646,"The Next 365 Days","Drama, Romance",2.8,10773,2022
tt0110169,"It's Pat: The Movie",Comedy,2.8,10579,1994
tt1788979,"67th Street, New York, NY","Crime, Thriller",2.9,34925,2011
tt19623240,"Winnie-the-Pooh: Blood and Honey",Horror,2.9,31922,2023
tt1086761,"Keeping Up with the Kardashians","Family, Reality-TV",2.9,31732,2007
tt9820556,Breach,"Action, Horror, Sci-Fi",2.9,20254,2020
tt9624766,"Jiu Jitsu","Action, Sci-Fi, Thriller",2.9,10705,2020
tt0101615,"Cool as Ice","Comedy, Drama, Music",2.9,10573,1991
tt0093300,"Jaws: The Revenge","Adventure, Horror, Thriller",3,50748,1987
tt0383222,BloodRayne,"Action, Fantasy, Horror",3,37573,2005
tt0105643,"Troll 2","Comedy, Fantasy, Horror",3,35363,1990
tt7059844,"Dabangg 3","Action, Comedy, Crime",3,20605,2019
tt0120207,Steel,"Action, Adventure, Crime",3,15298,1997
tt0118539,"3 Ninjas: High Noon at Mega Mountain","Action, Adventure, Comedy",3,12550,1998
tt0353324,"The Crow: Wicked Prayer","Action, Adventure, Comedy",3,10079,2005
tt0299981,"Highlander: The Source","Action, Adventure, Drama",3,10038,2007
tt2467046,"Left Behind","Action, Fantasy, Sci-Fi",3.1,43150,2014
tt0246894,Rollerball,"Action, Sci-Fi, Sport",3.1,30017,2002
tt0116756,Kazaam,"Comedy, Family, Fantasy",3.1,25987,1996
tt0804452,Bratz,"Comedy, Family, Music",3.1,25110,2007
tt11656172,"Hard Kill","Action, Thriller",3.1,19623,2020
tt2610768,"Celal and Ceren","Comedy, Romance",3.2,44021,2013
tt2403029,"The Starving Games","Adventure, Comedy, Sci-Fi",3.2,22935,2013
tt0462244,"Daddy Day Camp","Comedy, Family",3.2,18158,2007
tt0103923,"Captain America","Action, Adventure, Sci-Fi",3.2,15398,1990
tt0400426,"Far Cry","Action, Adventure, Sci-Fi",3.2,15169,2008
tt0499487,"Goal! III","Drama, Romance, Sport",3.2,13226,2009
tt0110647,"The NeverEnding Story III","Adventure, Comedy, Family",3.2,12646,1994
tt15281656,"The Holy Trinity",Horror,3.2,12289,2023
tt1619880,Sharktopus,"Action, Adventure, Comedy",3.2,12107,2010
tt6616074,"Amy Schumer: The Leather Special",Comedy,3.2,10678,2017
tt10886166,"365 Days","Drama, Romance",3.3,101283,2020
tt0810913,"Jack and Jill",Comedy,3.3,91844,2011
tt2724064,Sharknado,"Action, Adventure, Comedy",3.3,53871,2013
tt5690360,"Slender Man","Horror, Mystery, Thriller",3.3,39688,2018
tt7608028,"The Open House","Horror, Thriller",3.3,37764,2018
tt0065832,"Hercules in New York","Adventure, Comedy, Fantasy",3.3,19908,1970
tt5842616,"Veere Di Wedding",Comedy,3.3,13344,2018
tt1411664,"Bucky Larson: Born to Be a Star",Comedy,3.3,13044,2011
tt7851428,"First Signal","Drama, Sci-Fi",3.3,12139,2021
tt0327554,Catwoman,"Action, Crime, Fantasy",3.4,127654,2004
tt4877122,"The Emoji Movie","Adventure, Animation, Comedy",3.4,73649,2017
tt1666186,"Vampires Suck","Comedy, Horror",3.4,52448,2010
tt0329028,"Dumb and Dumberer: When Harry Met Lloyd",Comedy,3.4,43024,2003
tt0295427,"The Master of Disguise","Adventure, Comedy, Family",3.4,27768,2002
tt0110978,"Texas Chainsaw Massacre: The Next Generation","Comedy, Horror, Thriller",3.4,26858,1994
tt0295254,Feardotcom,"Crime, Horror, Thriller",3.4,23071,2002
tt6439558,"Recep Ivedik 5",Comedy,3.4,18390,2017
tt10739666,"Satyameva Jayate 2","Action, Crime, Drama",3.4,16211,2021
tt10930586,Shikara,"Drama, History, Romance",3.4,15513,2020
tt0095560,"Mac and Me","Adventure, Comedy, Family",3.4,14853,1988
tt0469111,"I'll Always Know What You Did Last Summer","Horror, Mystery, Thriller",3.4,13859,2006
tt1594972,"Norm of the North","Adventure, Animation, Comedy",3.4,10297,2016
tt0795461,"Scary Movie V","Comedy, Horror",3.5,78829,2013
tt0110857,"Police Academy: Mission to Moscow","Comedy, Crime",3.5,36742,1994
tt6990206,Crimea,"Action, Drama",3.5,33641,2017
tt0115624,"Barb Wire","Action, Sci-Fi",3.5,31739,1996
tt0372873,"Dragon Wars: D-War","Action, Drama, Fantasy",3.5,25548,2007
