id,title,type,genres,averageRating,numVotes,releaseYear
tt0086661,The Adventures of Sherlock Holmes,tvseries,"Crime, Drama, Mystery",8.7,25043,1984
tt10332508,Primal,tvseries,"Action, Adventure, Animation",8.7,22709,2019
tt6025022,Justice League Unlimited,tvseries,"Action, Adventure, Animation",8.7,21700,2004
tt28857177,Lucky Guy,tvseries,"Comedy, Drama, Fantasy",8.7,21552,2023
tt20859920,Alchemy of Souls,tvseries,"Action, Drama, Fantasy",8.7,20081,2022
tt0988818,Gintama,tvseries,"Action, Animation, Comedy",8.7,16555,2005
tt4063800,The Bureau,tvseries,"Drama, Thriller",8.7,15156,2015
tt0106028,Homicide: Life on the Street,tvseries,"Crime, Drama, Mystery",8.7,15083,1993
tt10801534,How to with John Wilson,tvseries,"Comedy, Documentary",8.7,14437,2020
tt0090509,The Return of Sherlock Holmes,tvseries,"Crime, Drama, Mystery",8.7,13842,1986
tt0229889,El Chavo del Ocho,tvseries,"Comedy, Family",8.7,13707,1972
tt6111552,Content Cop,tvseries,"Comedy, Crime, Talk-Show",8.7,12614,2015
tt4269716,Umbre,tvseries,"Crime, Drama, Thriller",8.7,11715,2014
tt7094780,Mr. Sunshine,tvseries,"Action, Drama, Romance",8.7,11112,2018
tt10554898,The Untamed,tvseries,"Action, Adventure, Drama",8.7,10663,2019
tt0773262,Dexter,tvseries,"Crime, Drama, Mystery",8.6,803009,2006
tt8111088,The Mandalorian,tvseries,"Action, Adventure, Fantasy",8.6,606039,2019
tt1856010,House of Cards,tvseries,Drama,8.6,538593,2013
tt3322312,Daredevil,tvseries,"Action, Crime, Drama",8.6,485820,2015
tt5290382,Mindhunter,tvseries,"Crime, Drama, Mystery",8.6,352954,2017
tt1124373,Sons of Anarchy,tvseries,"Crime, Drama, Thriller",8.6,331998,2008
tt1266020,Parks and Recreation,tvseries,Comedy,8.6,295817,2009
tt4786824,The Crown,tvseries,"Biography, Drama, History",8.6,264062,2016
tt0106179,The X-Files,tvseries,"Adventure, Crime, Drama",8.6,256496,1993
tt14452776,The Bear,tvseries,"Comedy, Drama",8.6,252576,2022
tt0979432,Boardwalk Empire,tvseries,"Crime, Drama",8.6,207167,2010
tt2788316,Shogun,tvseries,"Adventure, Drama, History",8.6,186401,2024
tt9335498,Demon Slayer: Kimetsu no Yaiba,tvseries,"Action, Adventure, Animation",8.6,170052,2019
tt1486217,Archer,tvseries,"Action, Animation, Comedy",8.6,168967,2009
tt0096657,Mr. Bean,tvseries,"Comedy, Family",8.6,137980,1990
tt1870479,The Newsroom,tvseries,Drama,8.6,127471,2012
tt1489428,Justified,tvseries,"Action, Crime, Drama",8.6,121967,2010
tt0348914,Deadwood,tvseries,"Crime, Drama, History",8.6,120610,2004
tt1305826,Adventure Time,tvseries,"Action, Adventure, Animation",8.6,117740,2010
tt7908628,What We Do in the Shadows,tvseries,"Comedy, Fantasy, Horror",8.6,110191,2019
tt4288182,Atlanta,tvseries,"Comedy, Drama, Music",8.6,91322,2016
tt9174558,Dopesick,tvseries,Drama,8.6,82643,2021
tt1733785,The Bridge,tvseries,"Crime, Mystery, Thriller",8.6,78737,2011
tt5421602,Anne with an E,tvseries,"Drama, Family",8.6,70165,2017
tt4299972,The Jinx: The Life and Deaths of Robert Durst,tvseries,"Biography, Crime, Documentary",8.6,54597,2015
tt0094525,Poirot,tvseries,"Crime, Drama, Mystery",8.6,53909,1989
tt0088484,Blackadder II,tvseries,Comedy,8.6,50896,1986
tt0092324,Blackadder the Third,tvseries,Comedy,8.6,47950,1987
tt2100976,Impractical Jokers,tvseries,"Comedy, Reality-TV",8.6,47318,2011
tt1641384,Young Justice,tvseries,"Action, Adventure, Animation",8.6,46947,2010
tt2049116,Gomorrah,tvseries,"Crime, Drama, Thriller",8.6,45821,2014
tt13111040,The Offer,tvseries,"Biography, Crime, Drama",8.6,42939,2022
tt5288312,Skam,tvseries,"Drama, Romance",8.6,39723,2015
tt11854694,Special OPS,tvseries,"Action, Crime, Thriller",8.6,38228,2020
tt9140342,It's a Sin,tvseries,Drama,8.6,38064,2021
tt12451520,It's Okay to Not Be Okay,tvseries,"Comedy, Drama, Romance",8.6,37741,2020
tt0053488,The Bugs Bunny Show,tvseries,"Animation, Comedy",8.6,36240,1960
tt0417349,North & South,tvseries,"Drama, Romance",8.6,35700,2004
tt2701582,Endeavour,tvseries,"Crime, Drama, Mystery",8.6,34651,2012
tt0380136,QI,tvseries,"Comedy, Game-Show",8.6,34180,2003
tt7562112,Pose,tvseries,Drama,8.6,33902,2018
tt1983079,Call the Midwife,tvseries,"Drama, History",8.6,32537,2012
tt4647692,Letterkenny,tvseries,Comedy,8.6,30983,2016
tt5994364,Guardian: The Lonely and Great God,tvseries,"Comedy, Drama, Fantasy",8.6,30443,2016
tt20869502,Extraordinary Attorney Woo,tvseries,Drama,8.6,29719,2022
tt0417373,The Venture Bros.,tvseries,"Action, Adventure, Animation",8.6,28664,2003
tt4156586,Permanent Roommates,tvseries,"Comedy, Romance",8.6,26514,2014
tt0094517,Mystery Science Theater 3000,tvseries,"Comedy, Sci-Fi",8.6,26308,1988
tt2433738,Wentworth,tvseries,"Crime, Drama, Thriller",8.6,25394,2013
tt21056886,Scavengers Reign,tvseries,"Adventure, Animation, Drama",8.6,24317,2023
tt4082744,Detectorists,tvseries,Comedy,8.6,22474,2014
tt2244495,The Eric Andre Show,tvseries,"Comedy, Talk-Show",8.6,22440,2012
tt0129690,I'm Alan Partridge,tvseries,Comedy,8.6,22416,1997
tt0421291,Avrupa Yakasi,tvseries,Comedy,8.6,21946,2004
tt2311418,Isler Güçler,tvseries,Comedy,8.6,21497,2012
tt8050756,The Owl House,tvseries,"Action, Adventure, Animation",8.6,21173,2020
tt7278862,My Brilliant Friend,tvseries,Drama,8.6,19479,2018
tt0310455,Foyle's War,tvseries,"Crime, Drama, Mystery",8.6,18905,2002
tt1513168,Through the Wormhole,tvseries,Documentary,8.6,18621,2010
tt10590066,All Creatures Great & Small,tvseries,"Comedy, Drama",8.6,18242,2020
tt9814458,Bandish Bandits,tvseries,"Drama, Music, Romance",8.6,17893,2020
tt3671754,Kardes Payi,tvseries,Comedy,8.6,17455,2014
tt8317568,Broken But Beautiful,tvseries,"Drama, Romance",8.6,17234,2018
tt0080306,Yes Minister,tvseries,Comedy,8.6,17117,1980
tt0203082,Rurouni Kenshin: Trust and Betrayal,tvseries,"Action, Adventure, Animation",8.6,16642,1999
tt17513352,Twenty Five Twenty One,tvseries,"Drama, Romance",8.6,15620,2022
tt0403778,Long Way Round,tvseries,"Adventure, Documentary",8.6,15611,2004
tt15614372,Tear Along the Dotted Line,tvseries,"Animation, Comedy, Drama",8.6,15217,2021
